Station_ID_Public,Station_Name_Public,Longitude,Latitude,StationTypeName,Spatial_Fold,Record_Count_1hour,Nonmissing_NOx_Count,Missing_NOx_Count,Unique_Timestamp_Count,Timestamp_Start,Timestamp_End,Source_Model_Input,Notes
NC_01,卢湾师专附小,121.478,31.2036,国控站,1,10224,10062,162,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_02,嘉定南翔,121.3305,31.29043,国控站,1,10224,10110,114,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_10,浦东川沙,121.703,31.1907,国控站,1,10200,10057,143,10200,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_04,宝山庙行,121.4261,31.32259,国控站,2,10224,10076,148,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_05,崇明上实东滩,121.8791,31.46624,国控站,2,10224,10049,175,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_09,松江图书馆,121.2186,31.03777,国控站,2,10224,10066,158,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_12,浦东惠南,121.8007,31.0484,国控站,2,10200,10055,145,10200,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_19,静安监测站,121.425,31.2261,国控站,2,10224,10138,86,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_06,徐汇上师大,121.412,31.1654,国控站,3,10224,10107,117,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_07,普陀监测站,121.40122,31.23807,国控站,3,10224,10139,85,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_11,浦东张江,121.577,31.2071,国控站,3,10200,10097,103,10200,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_14,虹口凉城,121.46671,31.3008,国控站,3,10224,10081,143,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_03,奉贤南桥新城,121.4891,30.92499,国控站,4,10224,10107,117,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_13,浦东监测站,121.53301,31.22838,国控站,4,10200,10091,109,10200,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_15,金山新城,121.339,30.74309,国控站,4,10224,10123,101,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_16,长宁仙霞,121.3902,31.20593,国控站,4,10224,10130,94,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_18,青浦徐泾,121.2886,31.1663,国控站,4,10224,10133,91,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_08,杨浦四漂,121.536,31.2659,国控站,5,10224,10029,195,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
NC_17,闵行浦江,121.4996,31.0739,国控站,5,10224,10112,112,10224,2021-10-01 00:00:00,2023-12-31 23:00:00,data/model_inputs/modeling_dataset_1hour.parquet,National-control station metadata derived from the public 1-hour model-input matrix.
