Panel,Data_Type,Panel_Description,Station,Cluster,Cluster_Name,StationType,Is_Traffic_Station,X_Variable,X_Label,X_Raw_Value,X_Norm,Y_Variable,Y_Label,Y_Raw_Value,Y_Norm,Baseline_Feature_Name,Cluster_Feature_Values,Notes
a,environmental_gradient_point,Environmental gradient proof matrix point.,人民广场,2,Cluster 3 (Transitional/source-influenced),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0018981513407670494,0.24515598636695865,building_density_aggregate,Building Density (3km),0.2792452331420962,0.916117342637542,Baseline+Meteorology,Emission=0.202254; Landuse=-0.613069; POI=0.207178; Temp=0.033502; Topo=0.187676; UCP=-0.775320,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
b,environmental_gradient_point,Environmental gradient proof matrix point.,人民广场,2,Cluster 3 (Transitional/source-influenced),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0018981513407670494,0.24515598636695865,height_std_aggregate,Building Height Std (3km),21.76121592091673,0.9082442433152712,Baseline+Meteorology,Emission=0.202254; Landuse=-0.613069; POI=0.207178; Temp=0.033502; Topo=0.187676; UCP=-0.775320,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
c,environmental_gradient_point,Environmental gradient proof matrix point.,人民广场,2,Cluster 3 (Transitional/source-influenced),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0018981513407670494,0.24515598636695865,frontal_area_density_aggregate,Frontal Area Density (3km),0.7473954382542176,0.9128865380973743,Baseline+Meteorology,Emission=0.202254; Landuse=-0.613069; POI=0.207178; Temp=0.033502; Topo=0.187676; UCP=-0.775320,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
d,environmental_gradient_point,Environmental gradient proof matrix point.,人民广场,2,Cluster 3 (Transitional/source-influenced),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0018981513407670494,0.24515598636695865,building_impervious_composite,Building & Impervious (3km),0.8461038532875718,1.0,Baseline+Meteorology,Emission=0.202254; Landuse=-0.613069; POI=0.207178; Temp=0.033502; Topo=0.187676; UCP=-0.775320,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
e,environmental_gradient_point,Environmental gradient proof matrix point.,人民广场,2,Cluster 3 (Transitional/source-influenced),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0018981513407670494,0.24515598636695865,green_space_composite,Green Space Density (3km),0.12951595117328812,0.0,Baseline+Meteorology,Emission=0.202254; Landuse=-0.613069; POI=0.207178; Temp=0.033502; Topo=0.187676; UCP=-0.775320,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
a,environmental_gradient_point,Environmental gradient proof matrix point.,卢湾师专附小,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.002091776029148365,0.2719875993721762,building_density_aggregate,Building Density (3km),0.24330131958005857,0.7967264885300205,Baseline+Meteorology,Emission=-0.045971; Landuse=-0.187654; POI=-0.081686; Temp=-0.008878; Topo=-0.146924; UCP=0.038003,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
b,environmental_gradient_point,Environmental gradient proof matrix point.,卢湾师专附小,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.002091776029148365,0.2719875993721762,height_std_aggregate,Building Height Std (3km),18.110475734715923,0.7156007875937067,Baseline+Meteorology,Emission=-0.045971; Landuse=-0.187654; POI=-0.081686; Temp=-0.008878; Topo=-0.146924; UCP=0.038003,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
c,environmental_gradient_point,Environmental gradient proof matrix point.,卢湾师专附小,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.002091776029148365,0.2719875993721762,frontal_area_density_aggregate,Frontal Area Density (3km),0.578735268537508,0.7052879852388468,Baseline+Meteorology,Emission=-0.045971; Landuse=-0.187654; POI=-0.081686; Temp=-0.008878; Topo=-0.146924; UCP=0.038003,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
d,environmental_gradient_point,Environmental gradient proof matrix point.,卢湾师专附小,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.002091776029148365,0.2719875993721762,building_impervious_composite,Building & Impervious (3km),0.7918778638879066,0.9311910743031908,Baseline+Meteorology,Emission=-0.045971; Landuse=-0.187654; POI=-0.081686; Temp=-0.008878; Topo=-0.146924; UCP=0.038003,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
e,environmental_gradient_point,Environmental gradient proof matrix point.,卢湾师专附小,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.002091776029148365,0.2719875993721762,green_space_composite,Green Space Density (3km),0.17811474233444438,0.06018686473920457,Baseline+Meteorology,Emission=-0.045971; Landuse=-0.187654; POI=-0.081686; Temp=-0.008878; Topo=-0.146924; UCP=0.038003,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
a,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定南翔,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032836684034435164,0.4371545271968794,building_density_aggregate,Building Density (3km),0.19152172133909948,0.6247360220867227,Baseline+Meteorology,Emission=0.039714; Landuse=-0.005647; POI=-0.066295; Temp=-0.038473; Topo=-0.023792; UCP=-0.021116,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
b,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定南翔,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032836684034435164,0.4371545271968794,height_std_aggregate,Building Height Std (3km),19.766344130180087,0.8029781942708722,Baseline+Meteorology,Emission=0.039714; Landuse=-0.005647; POI=-0.066295; Temp=-0.038473; Topo=-0.023792; UCP=-0.021116,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
c,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定南翔,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032836684034435164,0.4371545271968794,frontal_area_density_aggregate,Frontal Area Density (3km),0.29150517993468966,0.3517454100622243,Baseline+Meteorology,Emission=0.039714; Landuse=-0.005647; POI=-0.066295; Temp=-0.038473; Topo=-0.023792; UCP=-0.021116,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
d,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定南翔,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032836684034435164,0.4371545271968794,building_impervious_composite,Building & Impervious (3km),0.6362828822733738,0.733752103668625,Baseline+Meteorology,Emission=0.039714; Landuse=-0.005647; POI=-0.066295; Temp=-0.038473; Topo=-0.023792; UCP=-0.021116,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
e,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定南翔,0,Cluster 1 (Urban core),国控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032836684034435164,0.4371545271968794,green_space_composite,Green Space Density (3km),0.3627635021313843,0.28886395041624446,Baseline+Meteorology,Emission=0.039714; Landuse=-0.005647; POI=-0.066295; Temp=-0.038473; Topo=-0.023792; UCP=-0.021116,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
a,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定天华学院,1,Cluster 2 (Regional background),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0017703723177775136,0.22744896086467326,building_density_aggregate,Building Density (3km),0.10797600322986833,0.3472316088604997,Baseline+Meteorology,Emission=0.033770; Landuse=-0.113099; POI=-0.268058; Temp=-0.043486; Topo=0.058422; UCP=-0.104716,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
b,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定天华学院,1,Cluster 2 (Regional background),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0017703723177775136,0.22744896086467326,height_std_aggregate,Building Height Std (3km),21.546894327195503,0.896934851152479,Baseline+Meteorology,Emission=0.033770; Landuse=-0.113099; POI=-0.268058; Temp=-0.043486; Topo=0.058422; UCP=-0.104716,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
c,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定天华学院,1,Cluster 2 (Regional background),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0017703723177775136,0.22744896086467326,frontal_area_density_aggregate,Frontal Area Density (3km),0.17768994657727213,0.21165378215776948,Baseline+Meteorology,Emission=0.033770; Landuse=-0.113099; POI=-0.268058; Temp=-0.043486; Topo=0.058422; UCP=-0.104716,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
d,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定天华学院,1,Cluster 2 (Regional background),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0017703723177775136,0.22744896086467326,building_impervious_composite,Building & Impervious (3km),0.4193542092981329,0.4584850388254904,Baseline+Meteorology,Emission=0.033770; Landuse=-0.113099; POI=-0.268058; Temp=-0.043486; Topo=0.058422; UCP=-0.104716,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
e,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定天华学院,1,Cluster 2 (Regional background),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0017703723177775136,0.22744896086467326,green_space_composite,Green Space Density (3km),0.5782622612822849,0.5557470221673874,Baseline+Meteorology,Emission=0.033770; Landuse=-0.113099; POI=-0.268058; Temp=-0.043486; Topo=0.058422; UCP=-0.104716,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
a,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定方泰,0,Cluster 1 (Urban core),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032718668030060237,0.43551911603919996,building_density_aggregate,Building Density (3km),0.12400066930246961,0.4004589394318798,Baseline+Meteorology,Emission=0.057786; Landuse=-0.034802; POI=0.117175; Temp=-0.003718; Topo=-0.019769; UCP=-0.111909,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
b,environmental_gradient_point,Environmental gradient proof matrix point.,嘉定方泰,0,Cluster 1 (Urban core),市控站,No,emission_other_density_aggregate,Relative Emission Intensity,0.0032718668030060237,0.43551911603919996,height_std_aggregate,Building Height Std (3km),22.007398304439448,0.9212348760858114,Baseline+Meteorology,Emission=0.057786; Landuse=-0.034802; POI=0.117175; Temp=-0.003718; Topo=-0.019769; UCP=-0.111909,"Cluster labels were recomputed using the same spatial-CV, best-model, baseline-relative feature-gain logic as the original plotting code."
