Station,Latitude,Longitude,StationType
人民广场,31.2342,121.4688,市控站
卢湾师专附小,31.2036,121.478,国控站
嘉定南翔,31.29043,121.3305,国控站
嘉定天华学院,31.41167,121.1981,市控站
嘉定方泰,31.31194,121.255,市控站
嘉定监测站,31.3769,121.2642,市控站
外环线同济路路边站,31.374373,121.487234,交通站
奉贤南桥,30.91101,121.4552,市控站
奉贤南桥新城,30.92499,121.4891,国控站
奉贤奉浦,30.93385,121.4533,市控站
奉贤海湾,30.85805,121.6762,市控站
宝山庙行,31.32259,121.4261,国控站
宝山杨行,31.39325,121.4456,市控站
宝山罗店,31.41151,121.3409,市控站
崇明上实东滩,31.46624,121.8791,国控站
崇明城桥,31.6457,121.4179,市控站
崇明森林公园,31.68948,121.479,市控站
崇明现代农业园区,31.59443,121.8026,市控站
崇明绿华,31.76889,121.1956,市控站
徐家汇,31.19908,121.4374,市控站
徐汇上师大,31.1654,121.412,国控站
徐汇华泾,31.12295,121.4501,市控站
普陀桃浦,31.28524,121.3425,市控站
普陀监测站,31.23807,121.40122,国控站
杨浦四漂,31.2659,121.536,国控站
杨浦新江湾城,31.32146,121.5034,市控站
杨浦监测站,31.2837,121.5377,市控站
松江中山,31.05164,121.2665,市控站
松江图书馆,31.03777,121.2186,国控站
松江岳阳,31.01139,121.2323,市控站
浦东东方路路边站,31.215259,121.524505,交通站
浦东周浦,31.11433,121.5846,市控站
浦东川沙,31.1907,121.703,国控站
浦东张江,31.2071,121.577,国控站
浦东惠南,31.0484,121.8007,国控站
浦东监测站,31.22838,121.53301,国控站
虹口凉城,31.3008,121.46671,国控站
虹口嘉兴,31.2666,121.5016,市控站
金山廊下,30.79118,121.138,市控站
金山新城,30.74309,121.339,国控站
金山朱泾,30.89116,121.1603,市控站
金山枫泾,30.92367,121.0125,市控站
长宁仙霞,31.20593,121.3902,国控站
长宁华阳,31.22328,121.4247,市控站
长宁程桥,31.19392,121.3623,市控站
闵行江川,31.0061,121.4118,市控站
闵行浦江,31.0739,121.4996,国控站
闵行莘庄,31.1161,121.3663,市控站
青浦夏阳,31.1561,121.1255,市控站
青浦徐泾,31.1663,121.2886,国控站
青浦朱家角,31.1173,121.0476,市控站
静安七一中学,31.2325,121.4476,市控站
静安共和新路路边站,31.280916,121.44731,交通站
静安和田中学,31.2768,121.451,市控站
静安市北高新,31.29736,121.4304,市控站
静安延安西路路边站,31.222778,121.43988,交通站
静安监测站,31.2261,121.425,国控站
黄浦瑞金,31.2187,121.4607,市控站
