Panel,Panel_Description,Model,Model_Display,CV_Strategy,CV_Display,Time_Scale_Raw,Time_Scale_Display,Column_Key,Column_Order,Feature_Raw,Feature_Domain,Feature_Order,Baseline_Feature_Raw,Is_Baseline,Absolute_R2,Baseline_R2,Delta_R2,Delta_R2_Percent,P_Value_One_Tailed,Significance_Stars,N_Station_Pairs,Mean_Station_Delta_R2,Annotation_Text,Significance_Test,Notes
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,1hour,1h,LGBM|Spatial_CV|1hour,1,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.587487026652078,0.587487026652078,0.0,0.0,,,,,"0.587
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,24hour,24h,LGBM|Spatial_CV|24hour,2,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.622076484387867,0.622076484387867,0.0,0.0,,,,,"0.622
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,7day,7d,LGBM|Spatial_CV|7day,3,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.628428860242557,0.628428860242557,0.0,0.0,,,,,"0.628
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,31day,31d,LGBM|Spatial_CV|31day,4,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.605974158873733,0.605974158873733,0.0,0.0,,,,,"0.606
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,1hour,1h,LGBM|Temporal_CV|1hour,5,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.45236563577141,0.45236563577141,0.0,0.0,,,,,"0.452
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,24hour,24h,LGBM|Temporal_CV|24hour,6,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.556441189243417,0.556441189243417,0.0,0.0,,,,,"0.556
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,7day,7d,LGBM|Temporal_CV|7day,7,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.601146971495914,0.601146971495914,0.0,0.0,,,,,"0.601
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,31day,31d,LGBM|Temporal_CV|31day,8,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.486028526144046,0.486028526144046,0.0,0.0,,,,,"0.486
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,1hour,1h,RF|Spatial_CV|1hour,9,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.584090243569223,0.584090243569223,0.0,0.0,,,,,"0.584
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,24hour,24h,RF|Spatial_CV|24hour,10,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.628579937458505,0.628579937458505,0.0,0.0,,,,,"0.629
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
