Panel,Data_Type,Source_Category,Plot_Order,Radius_m,Emission_Composition_Value,Emission_Composition_Percent,Distance_Bin_Left_m,Distance_Bin_Right_m,Distance_Bin_Center_m,Frequency,KDE_X_m,KDE_Density,Spearman_R,Mean_Spatial_Validation_R2,Baseline_R2,Peak_Radius_m,Metric_Name,Metric_Value,Panel_Description,Notes
a,emission_composition,Ship,1,,279942.6706913,73.4586545720841,,,,,,,,,,,NOx_emission_composition,279942.6706913,Emission inventory composition in the Shanghai study area.,"Panel a order follows descending NOx emission, matching the original plotting script."
a,emission_composition,Motor Vehicle,2,,60576.92260556642,15.895751875673128,,,,,,,,,,,NOx_emission_composition,60576.92260556642,Emission inventory composition in the Shanghai study area.,"Panel a order follows descending NOx emission, matching the original plotting script."
a,emission_composition,Industrial Source,3,,31308.62314987,8.215572593540067,,,,,,,,,,,NOx_emission_composition,31308.62314987,Emission inventory composition in the Shanghai study area.,"Panel a order follows descending NOx emission, matching the original plotting script."
a,emission_composition,Others,4,,9260.536569554622,2.4300209587026953,,,,,,,,,,,NOx_emission_composition,9260.536569554622,Emission inventory composition in the Shanghai study area.,"Panel a order follows descending NOx emission, matching the original plotting script."
b,distance_histogram,Ship,1,,,,0.0,200.0,100.0,5789,,,,,,,distance_histogram_frequency,5789.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,200.0,400.0,300.0,20502,,,,,,,distance_histogram_frequency,20502.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,400.0,600.0,500.0,38994,,,,,,,distance_histogram_frequency,38994.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,600.0,800.0,700.0,56599,,,,,,,distance_histogram_frequency,56599.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,800.0,1000.0,900.0,76760,,,,,,,distance_histogram_frequency,76760.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,1000.0,1200.0,1100.0,109911,,,,,,,distance_histogram_frequency,109911.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,1200.0,1400.0,1300.0,155074,,,,,,,distance_histogram_frequency,155074.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,1400.0,1600.0,1500.0,212011,,,,,,,distance_histogram_frequency,212011.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,1600.0,1800.0,1700.0,260255,,,,,,,distance_histogram_frequency,260255.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,1800.0,2000.0,1900.0,292082,,,,,,,distance_histogram_frequency,292082.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,2000.0,2200.0,2100.0,320319,,,,,,,distance_histogram_frequency,320319.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
