Panel,Data_Type,Panel_Description,Model,Model_Display,CV_Strategy,CV_Display,Time_Scale_Raw,Time_Scale_Display,Time_Order,Feature_Raw,Feature,Feature_Order,Metric_Name,Metric_Value,Val_R2_Mean,Base_R2,Feat_R2,Delta_R2_Percent,Temporal_Contribution_Percent,Spatial_Contribution_Percent,Radar_Value_Percent,Notes
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Buffer,Buffer,1,Val_R2_Mean,0.634303139850382,0.634303139850382,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Buffer,Buffer,1,Val_R2_Mean,0.646742099020077,0.646742099020077,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Aggregated,Aggregated,2,Val_R2_Mean,0.573845650471733,0.573845650471733,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Aggregated,Aggregated,2,Val_R2_Mean,0.620533809192004,0.620533809192004,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Emission,Emission,3,Val_R2_Mean,0.624486361308158,0.624486361308158,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Emission,Emission,3,Val_R2_Mean,0.669595534386118,0.669595534386118,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Temp,Temporal,4,Val_R2_Mean,0.536024327041996,0.536024327041996,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Temp,Temporal,4,Val_R2_Mean,0.61119853699165,0.61119853699165,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Topo,Topology,5,Val_R2_Mean,0.568260682495554,0.568260682495554,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Topo,Topology,5,Val_R2_Mean,0.621643482134189,0.621643482134189,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+UCP,UCP,6,Val_R2_Mean,0.548515017787092,0.548515017787092,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+UCP,UCP,6,Val_R2_Mean,0.567836305920857,0.567836305920857,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Landuse,Land Use,7,Val_R2_Mean,0.523306076945378,0.523306076945378,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Landuse,Land Use,7,Val_R2_Mean,0.539855356013001,0.539855356013001,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+POI,POI,8,Val_R2_Mean,0.523230102869362,0.523230102869362,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+POI,POI,8,Val_R2_Mean,0.599904352194576,0.599904352194576,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Meteorology,Baseline,999,Val_R2_Mean,0.587487026652078,0.587487026652078,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,1hour,1h,1.0,Baseline+Meteorology,Baseline,999,Val_R2_Mean,0.584090243569223,0.584090243569223,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Buffer,Buffer,1,Val_R2_Mean,0.663433367655586,0.663433367655586,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Buffer,Buffer,1,Val_R2_Mean,0.707586392215089,0.707586392215089,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Aggregated,Aggregated,2,Val_R2_Mean,0.601557616429431,0.601557616429431,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Aggregated,Aggregated,2,Val_R2_Mean,0.671653632294827,0.671653632294827,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Emission,Emission,3,Val_R2_Mean,0.694813186170701,0.694813186170701,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Emission,Emission,3,Val_R2_Mean,0.731518430600015,0.731518430600015,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Temp,Temporal,4,Val_R2_Mean,0.618834278110241,0.618834278110241,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",RF,Random Forest,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Temp,Temporal,4,Val_R2_Mean,0.629825391216275,0.629825391216275,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
b,validation_r2_distribution,"Validation R2 distributions by model, validation strategy and aggregation scale.",LGBM,LightGBM,Spatial_CV,Spatial Generalization,24hour,24h,2.0,Baseline+Topo,Topology,5,Val_R2_Mean,0.598631020040288,0.598631020040288,,,,,,,Panel b uses all feature-combination validation R2 values from the overall metrics workbook.
