Panel,Data_Type,Panel_Description,Station,Cluster,Feature,Metric_Name,Metric_Value,K_Value,Latitude,Longitude,Fold,StationType,X_Value,Y_Value,Regression_R2,Traffic_Line_WKT,Traffic_Volume,Traffic_Line_Width,Notes
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,245.33965917199208,2,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.36193003586383227,2,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,206.47774025762348,3,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.34488442622700655,3,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,167.8027349310815,4,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.3570490260994142,4,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,136.53146432987913,5,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.37898997186651906,5,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,110.64629317159549,6,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.38805588486823095,6,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,88.26852628466166,7,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.23011433759034197,7,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,74.19078825164911,8,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.23073384950965678,8,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,69.27726021402513,9,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.14269825640021472,9,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,SSE,56.82176880218032,10,,,,,,,,,,,
a,cluster_evaluation,SSE and silhouette score across candidate cluster numbers.,,,,Silhouette,0.21769877051708236,10,,,,,,,,,,,
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,宝山杨行,0,Landuse,Scatter_Point,,,31.39325,121.4456,5,市控站,-0.13248811205464972,0.006362882431170225,0.7809818846888775,,,,is_inlier=True
