Model,CV_Strategy,Time_Scale,Time_Label,Feature_Combination,Feature_Display,Feature_Order,Baseline_Feature,Baseline_R2,Feature_R2,Delta_R2,Delta_R2_Percent,P_Value_One_Tailed,T_Statistic,N_Valid_Pairs,N_Valid_Diffs_After_IQR,Significance_Stars,Annotation_Text,IQR_K,Notes,Column_Order
LGBM,Spatial_CV,1hour,1h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.587487026652078,0.587487026652078,0.0,0.0,1.0,,0,0,,"0.587
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,0
LGBM,Spatial_CV,24hour,24h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.622076484387867,0.622076484387867,0.0,0.0,1.0,,0,0,,"0.622
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,1
LGBM,Spatial_CV,7day,7d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.628428860242557,0.628428860242557,0.0,0.0,1.0,,0,0,,"0.628
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,2
LGBM,Spatial_CV,31day,31d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.605974158873733,0.605974158873733,0.0,0.0,1.0,,0,0,,"0.606
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,3
LGBM,Temporal_CV,1hour,1h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.45236563577141,0.45236563577141,0.0,0.0,1.0,,0,0,,"0.452
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,4
LGBM,Temporal_CV,24hour,24h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.556441189243417,0.556441189243417,0.0,0.0,1.0,,0,0,,"0.556
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,5
LGBM,Temporal_CV,7day,7d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.601146971495914,0.601146971495914,0.0,0.0,1.0,,0,0,,"0.601
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,6
LGBM,Temporal_CV,31day,31d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.486028526144046,0.486028526144046,0.0,0.0,1.0,,0,0,,"0.486
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,7
RF,Spatial_CV,1hour,1h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.584090243569223,0.584090243569223,0.0,0.0,1.0,,0,0,,"0.584
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,8
RF,Spatial_CV,24hour,24h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.628579937458505,0.628579937458505,0.0,0.0,1.0,,0,0,,"0.629
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,9
RF,Spatial_CV,7day,7d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.613012163571905,0.613012163571905,0.0,0.0,1.0,,0,0,,"0.613
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,10
RF,Spatial_CV,31day,31d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.589943134074972,0.589943134074972,0.0,0.0,1.0,,0,0,,"0.590
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,11
RF,Temporal_CV,1hour,1h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.354619142306792,0.354619142306792,0.0,0.0,1.0,,0,0,,"0.355
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,12
RF,Temporal_CV,24hour,24h,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.485373822898521,0.485373822898521,0.0,0.0,1.0,,0,0,,"0.485
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,13
RF,Temporal_CV,7day,7d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.524647610855134,0.524647610855134,0.0,0.0,1.0,,0,0,,"0.525
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,14
RF,Temporal_CV,31day,31d,Baseline+Meteorology,Baseline,0,Baseline+Meteorology,0.497335211200427,0.497335211200427,0.0,0.0,1.0,,0,0,,"0.497
(Ref.)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,15
LGBM,Spatial_CV,1hour,1h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.587487026652078,0.554169691795509,-0.03331733485656896,-3.331733485656896,1.0,-1.3173852109043085,58,58,,"0.554
(-3.3)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,0
LGBM,Spatial_CV,24hour,24h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.622076484387867,0.583157744599102,-0.03891873978876503,-3.8918739788765033,1.0,-1.0578332896088092,58,58,,"0.583
(-3.9)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,1
LGBM,Spatial_CV,7day,7d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.628428860242557,0.554409417743902,-0.074019442498655,-7.401944249865499,1.0,-1.0125611618288437,58,58,,"0.554
(-7.4)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,2
LGBM,Spatial_CV,31day,31d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.605974158873733,0.398707983590327,-0.20726617528340596,-20.726617528340597,1.0,-1.0877864123735936,58,58,,"0.399
(-20.7)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,3
LGBM,Temporal_CV,1hour,1h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.45236563577141,0.505579847690077,0.05321421191866704,5.321421191866705,1.0,-2.006729056104269,58,58,,"0.506
(+5.3)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,4
LGBM,Temporal_CV,24hour,24h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.556441189243417,0.587655260292262,0.031214071048844994,3.1214071048844994,0.0003197850404833595,3.6136747505688978,58,58,***,"0.588
(+3.1***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,5
LGBM,Temporal_CV,7day,7d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.601146971495914,0.653700102165179,0.052553130669265036,5.255313066926504,1.0,-0.6980056714066281,58,58,,"0.654
(+5.3)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,6
