Data_Type,CV_Type,Time_Scale,Time_Label,Time_Order,Category,Category_Order,Category_Color,Feature_Count,Mean_Abs_SHAP_Sum,Mean_Abs_SHAP_Mean,Contribution_Percent,Class_File_Used,SHAP_File_Found,Excluded_Unclassified_Features,Notes
category_contribution,Station,1hour,1-Hour,0,Meteorological Parameters,0,#4DBBD5,22,24.30228847,1.10464948,30.978347,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,Temporal Parameters,1,#F39B7F,9,13.23876352,1.47097372,41.251397,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,Emission Source Parameters,2,#E64B35,20,6.05692374,0.30284619,8.492897,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,Road Topology Parameters,3,#8491B4,14,1.70316074,0.12165434,3.411625,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,POI Parameters,4,#3C5488,3,1.02624607,0.34208202,9.593211,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,Urban Canopy Parameters,5,#00A087,44,4.73570048,0.10762956,3.01832,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,1hour,1-Hour,0,Landuse Parameters,6,#7E6148,44,5.10579635,0.11604083,3.254202,classification.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,24hour,24-Hour,1,Meteorological Parameters,0,#4DBBD5,22,26.48089418,1.20367701,36.286304,classification_24hour.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,24hour,24-Hour,1,Temporal Parameters,1,#F39B7F,9,9.65581022,1.0728678,32.342902,classification_24hour.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,24hour,24-Hour,1,Emission Source Parameters,2,#E64B35,20,7.81778365,0.39088918,11.783829,classification_24hour.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,24hour,24-Hour,1,Road Topology Parameters,3,#8491B4,14,1.49602038,0.1068586,3.221382,classification_24hour.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,24hour,24-Hour,1,POI Parameters,4,#3C5488,3,0.84199107,0.28066369,8.460947,classification_24hour.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
