group,relative_path,required,exists,size_mb
main_figure_source_data,data/source_data/main/Fig1/monitoring_sites.csv,True,True,0.002482
main_figure_source_data,data/source_data/main/Fig1/road_network_traffic_flow_proxy.csv,True,True,37.505467
main_figure_source_data,data/source_data/main/Fig1/fig1_schematic_parameters.csv,True,True,0.000697
main_figure_source_data,data/source_data/main/Fig1/fig1_workflow_nodes.csv,True,True,0.000317
main_figure_source_data,data/source_data/main/Fig1/fig1_workflow_edges.csv,True,True,4.1e-05
main_figure_script,code/scripts/reproduce_fig1_from_source_data.py,True,True,0.028105
main_figure_output,figures/main/Fig1_Original.png,True,True,4.84663
main_figure_output,figures/main/Fig1_reproduced_from_source_data.png,True,True,2.894554
main_figure_output,figures/main/Fig1_reproduced_from_source_data.pdf,True,True,12.238606
main_figure_source_data,data/source_data/main/Fig2_source_data.csv,True,True,0.328224
main_figure_script,code/scripts/reproduce_fig2_from_source_data.py,True,True,0.012524
main_figure_output,figures/main/Fig2_Original.png,True,True,0.089554
main_figure_output,figures/main/Fig2_reproduced_from_source_data.png,True,True,2.582914
main_figure_output,figures/main/Fig2_reproduced_from_source_data.pdf,True,True,0.049604
main_figure_source_data,data/source_data/main/Fig3_source_data.csv,True,True,0.073088
main_figure_script,code/scripts/reproduce_fig3_from_source_data.py,True,True,0.011449
main_figure_output,figures/main/Fig3_Original.png,True,True,0.074561
main_figure_output,figures/main/Fig3_reproduced_from_source_data.png,True,True,1.118605
main_figure_output,figures/main/Fig3_reproduced_from_source_data.pdf,True,True,0.065877
main_figure_source_data,data/source_data/main/Fig4_source_data.csv,True,True,0.051381
main_figure_script,code/scripts/reproduce_fig4_from_source_data.py,True,True,0.015009
main_figure_output,figures/main/Fig4_Original.png,True,True,0.165044
main_figure_output,figures/main/Fig4_reproduced_from_source_data.png,True,True,3.484918
main_figure_output,figures/main/Fig4_reproduced_from_source_data.pdf,True,True,11.077687
main_figure_source_data,data/source_data/main/Fig4_traffic_network.csv,True,True,29.3008
main_figure_source_data,data/source_data/main/Fig5/category_interaction_edges.csv,True,True,0.001304
main_figure_source_data,data/source_data/main/Fig5/fig5_interaction_points.csv,True,True,31.256876
